City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Aksu,CN,41.1231,80.2644,89.94,14,100,4.12,overcast clouds
79,Saravan,AM,39.7196,45.6483,81.25,40,41,6.13,scattered clouds
80,Labuhan,ID,-6.8844,112.2051,85.19,60,32,4.61,scattered clouds
81,Ilulissat,GL,69.2167,-51.1,48.22,81,20,2.3,few clouds
82,Changji,CN,44.0167,87.3167,83.19,23,0,8.95,clear sky
83,Butaritari,KI,3.0707,172.7902,83.5,70,29,8.08,scattered clouds
84,Cape Town,ZA,-33.9258,18.4232,64.89,64,40,5.01,scattered clouds
85,Deputatskiy,RU,69.3,139.9,50.09,56,13,12.55,few clouds
86,Mar Del Plata,AR,-38.0023,-57.5575,43.09,31,90,1.99,fog
87,Voskresenskoye,RU,56.8381,45.4317,80.15,39,74,10.49,broken clouds
88,Ostrovnoy,RU,68.0531,39.5131,55.29,68,28,3.13,scattered clouds
89,Victoria,HK,22.2855,114.1577,86.97,82,100,3.0,light rain
90,Saint-Pierre,RE,-21.3393,55.4781,76.68,60,0,18.41,light rain
91,Guerrero Negro,MX,27.9769,-114.0611,70.61,83,6,7.29,clear sky
92,Arraial Do Cabo,BR,-22.9661,-42.0278,60.66,88,75,5.75,broken clouds
93,Halifax,CA,44.6453,-63.5724,58.51,88,98,1.01,overcast clouds
94,Bubaque,GW,11.2833,-15.8333,78.62,84,99,15.03,moderate rain
95,Kiruna,SE,67.8557,20.2251,49.12,71,90,9.22,overcast clouds
96,Kaeo,NZ,-35.1,173.7833,50.32,88,10,3.83,clear sky
97,Port Lincoln,AU,-34.7333,135.8667,52.3,77,5,12.01,clear sky
98,Clyde River,CA,70.4692,-68.5914,37.63,100,90,5.75,mist
99,Dryden,CA,49.7833,-92.7503,57.49,77,90,4.61,overcast clouds
100,Alta,NO,69.9689,23.2717,47.46,82,75,7.0,broken clouds
101,Nkan,GA,0.3833,9.7833,80.37,58,98,4.68,overcast clouds
102,Saint-Leu,RE,-21.15,55.2833,76.06,74,17,6.08,light rain
103,Luderitz,NA,-26.6481,15.1594,78.87,23,0,6.38,clear sky
104,Sirjan,IR,29.452,55.6814,93.88,16,29,1.25,scattered clouds
105,Leshukonskoye,RU,64.8989,45.7622,66.58,61,88,8.16,overcast clouds
106,Jamestown,US,42.097,-79.2353,63.99,86,90,1.99,overcast clouds
107,Sakhon Nakhon,TH,17.1612,104.1472,87.75,70,75,9.22,broken clouds
108,Esperance,AU,-33.8667,121.9,51.46,64,88,23.67,overcast clouds
109,Mataura,NZ,-46.1927,168.8643,43.48,98,100,2.64,overcast clouds
110,Lugovoy,KZ,42.9472,72.7644,94.01,14,85,8.48,overcast clouds
111,Chokurdakh,RU,70.6333,147.9167,43.16,53,16,11.79,few clouds
112,Prabumulih,ID,-3.45,104.25,88.09,52,76,5.23,broken clouds
113,San Patricio,US,28.017,-97.5169,84.07,84,40,6.96,scattered clouds
114,Hambantota,LK,6.1241,81.1185,85.8,66,100,25.23,overcast clouds
115,Vao,NC,-22.6667,167.4833,67.6,60,71,20.65,broken clouds
116,Mabaruma,GY,8.2,-59.7833,71.83,100,26,2.33,scattered clouds
117,Channel-Port Aux Basques,CA,47.5702,-59.1367,60.06,89,24,16.49,few clouds
118,Siavonga,ZM,-16.5382,28.7088,75.45,48,37,6.06,scattered clouds
119,Pangkalanbuun,ID,-2.6833,111.6167,79.61,86,63,1.66,broken clouds
120,Kodinsk,RU,58.6881,99.1844,58.57,91,100,3.6,light rain
121,Juigalpa,NI,12.1063,-85.3645,75.94,86,92,12.93,overcast clouds
122,Natal,BR,-5.795,-35.2094,75.42,88,75,9.22,broken clouds
123,Te Anau,NZ,-45.4167,167.7167,43.07,94,47,0.94,scattered clouds
124,Salalah,OM,17.0151,54.0924,80.69,89,90,11.5,overcast clouds
125,Mnogovershinnyy,RU,53.9353,139.9242,52.16,88,100,2.1,overcast clouds
126,Hilo,US,19.7297,-155.09,74.93,86,90,4.61,light rain
127,Puerto Ayora,EC,-0.7393,-90.3518,71.55,86,27,7.0,scattered clouds
128,Ust-Koksa,RU,50.2696,85.6108,74.93,33,59,5.66,broken clouds
129,Cherskiy,RU,68.75,161.3,37.67,72,97,20.33,overcast clouds
130,Mount Pleasant,US,32.7941,-79.8626,82.98,85,40,11.01,scattered clouds
131,Balabac,PH,7.9868,117.0645,84.24,78,77,13.49,broken clouds
132,Escarcega,MX,18.6089,-90.7454,72.01,97,26,2.73,scattered clouds
133,Zverinogolovskoye,RU,54.4586,64.8542,86.88,42,31,13.87,scattered clouds
134,Sterling,US,39.0062,-77.4286,70.93,93,90,0.0,overcast clouds
135,Aljezur,PT,37.3191,-8.8033,70.84,59,64,14.79,broken clouds
136,Tres Arroyos,AR,-38.3739,-60.2798,35.62,76,0,2.35,clear sky
137,Hithadhoo,MV,-0.6,73.0833,82.2,69,97,3.74,moderate rain
138,Santa Marta,CO,11.2408,-74.199,82.98,74,4,5.01,clear sky
139,Kavieng,PG,-2.5744,150.7967,82.49,73,4,5.84,clear sky
140,Weihe,CN,32.9952,105.3247,84.87,56,0,5.95,clear sky
141,Itoman,JP,26.1247,127.6694,82.78,91,75,16.11,broken clouds
142,Lahij,YE,13.1667,44.5833,92.84,47,33,6.93,scattered clouds
143,Abnub,EG,27.2696,31.1511,102.69,11,15,4.14,few clouds
144,Timmins,CA,48.4669,-81.3331,46.22,100,40,3.44,scattered clouds
145,Namibe,AO,-15.1961,12.1522,82.62,36,0,4.92,clear sky
146,Barrow,US,71.2906,-156.7887,53.62,83,1,16.11,clear sky
147,Lac-Megantic,CA,45.5834,-70.8823,53.62,97,51,4.45,broken clouds
148,Kyle,US,29.9984,-97.8715,80.04,92,20,4.61,few clouds
149,Iqaluit,CA,63.7506,-68.5145,51.53,66,75,5.01,broken clouds
150,Cabo San Lucas,MX,22.8909,-109.9124,82.51,78,93,0.92,overcast clouds
151,Ossora,RU,59.2353,163.0719,53.58,65,96,5.86,overcast clouds
152,Potiskum,NG,11.7091,11.0694,83.61,63,92,10.42,overcast clouds
153,Grand Gaube,MU,-20.0064,57.6608,75.6,62,1,15.01,clear sky
154,Del Rio,US,29.3627,-100.8968,84.31,67,1,8.05,clear sky
155,Kruisfontein,ZA,-34.0033,24.7314,65.88,44,73,12.64,broken clouds
156,Bluff,NZ,-46.6,168.3333,43.81,91,40,6.87,scattered clouds
157,Taoudenni,ML,22.6783,-3.9836,104.25,21,1,15.82,clear sky
158,Ramhormoz,IR,31.28,49.6035,114.87,7,0,8.14,clear sky
159,Aswan,EG,24.0934,32.907,105.46,11,38,5.93,scattered clouds
160,Anuradhapura,LK,8.3565,80.4173,90.81,49,100,15.28,overcast clouds
161,Biltine,TD,14.5333,20.9167,84.81,49,97,2.89,overcast clouds
162,Mangai,CD,-4.05,19.5333,97.77,13,91,1.97,overcast clouds
163,Bowral,AU,-34.4667,150.4167,47.14,95,83,4.23,broken clouds
164,Lukovetskiy,RU,64.2956,41.9211,71.58,57,62,6.29,broken clouds
165,Kaitangata,NZ,-46.2817,169.8464,47.68,97,100,3.74,overcast clouds
166,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,79,62,7.2,broken clouds
167,Gao,ML,16.6362,1.637,91.18,43,80,13.47,broken clouds
168,Sistranda,NO,63.7256,8.834,53.91,74,88,11.45,overcast clouds
