City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Khani,GE,2021-08-01 09:50:28,41.9563,42.9566,80.17,44,3,6.58
59,Dzerzhinsk,RU,2021-08-01 09:50:29,56.2389,43.4631,80.42,41,20,11.18
60,Xinmin,CN,2021-08-01 09:50:29,41.9908,122.8253,76.28,91,100,4.5
61,Taoudenni,ML,2021-08-01 09:50:29,22.6783,-3.9836,104.25,21,1,15.82
62,Komsomolskiy,UZ,2021-08-01 09:50:30,40.4272,71.7189,95.72,20,93,6.91
63,Mahebourg,MU,2021-08-01 09:50:30,-20.4081,57.7,75.49,60,75,16.11
64,Talnakh,RU,2021-08-01 09:50:30,69.4865,88.3972,52.59,94,100,9.55
65,Vardo,NO,2021-08-01 09:50:31,70.3705,31.1107,49.57,92,100,7.9
66,General Pico,AR,2021-08-01 09:50:31,-35.6566,-63.7568,37.58,84,0,4.09
67,Shingu,JP,2021-08-01 09:50:31,33.7333,135.9833,83.39,87,99,3.76
68,Sikonge,TZ,2021-08-01 09:50:32,-5.6333,32.7667,82.09,26,1,8.99
69,Porto Nacional,BR,2021-08-01 09:50:32,-10.7081,-48.4172,78.8,56,53,5.61
70,Lompoc,US,2021-08-01 09:50:32,34.6391,-120.4579,60.48,98,90,4.61
71,San Patricio,US,2021-08-01 09:50:33,28.017,-97.5169,84.07,84,40,6.96
72,Niquero,CU,2021-08-01 09:50:33,20.0431,-77.5828,78.33,88,36,5.7
73,Geraldton,AU,2021-08-01 09:50:33,-28.7667,114.6,59.41,63,90,13.8
74,Tiksi,RU,2021-08-01 09:50:33,71.6872,128.8694,48.7,71,1,4.72
75,Fort-Shevchenko,KZ,2021-08-01 09:50:34,44.5086,50.263,86.85,44,43,11.5
76,Roma,US,2021-08-01 09:50:34,43.2128,-75.4557,59.9,88,20,5.75
77,Bredasdorp,ZA,2021-08-01 09:50:34,-34.5322,20.0403,63.72,63,69,12.66
78,Georgetown,MY,2021-08-01 09:49:43,5.4112,100.3354,80.53,89,40,3.44
79,Arraial Do Cabo,BR,2021-08-01 09:47:48,-22.9661,-42.0278,64.36,94,40,3.44
80,Shimanovsk,RU,2021-08-01 09:50:35,52.0,127.7,60.1,99,100,4.56
81,Barsovo,RU,2021-08-01 09:50:35,61.1667,73.1667,71.73,48,89,12.3
82,Tasiilaq,GL,2021-08-01 09:50:36,65.6145,-37.6368,42.69,80,16,0.56
83,Fort Nelson,CA,2021-08-01 09:50:36,58.8053,-122.7002,60.39,88,1,2.3
84,Payakumbuh,ID,2021-08-01 09:50:37,-0.2202,100.6308,76.93,92,89,2.77
85,Cidreira,BR,2021-08-01 09:49:05,-30.1811,-50.2056,51.67,88,73,5.01
86,Sitka,US,2021-08-01 09:50:37,57.0531,-135.33,60.69,88,90,8.05
87,Inhambane,MZ,2021-08-01 09:50:37,-23.865,35.3833,75.18,57,20,5.99
88,Pingliang,CN,2021-08-01 09:50:38,35.5392,106.6861,92.14,21,6,10.45
89,Masallatah,LY,2021-08-01 09:50:38,32.6167,14.0,97.41,24,0,8.46
90,Cape Town,ZA,2021-08-01 09:48:31,-33.9258,18.4232,63.1,67,40,5.75
91,Puerto Ayora,EC,2021-08-01 09:50:38,-0.7393,-90.3518,71.55,86,27,5.01
92,Lavrentiya,RU,2021-08-01 09:50:39,65.5833,-171.0,40.6,94,100,7.27
93,Finote Selam,ET,2021-08-01 09:50:39,10.7,37.2667,67.59,82,100,3.42
94,Laguna,US,2021-08-01 09:50:39,38.421,-121.4238,79.3,66,1,3.0
95,Bethel,US,2021-08-01 09:50:40,41.3712,-73.414,61.02,91,1,0.0
96,Dikson,RU,2021-08-01 09:50:40,73.5069,80.5464,40.93,98,100,5.53
97,Srednekolymsk,RU,2021-08-01 09:50:40,67.45,153.6833,41.4,76,100,18.54
98,Bam,IR,2021-08-01 09:50:41,29.106,58.357,100.63,9,0,14.92
99,Hobyo,SO,2021-08-01 09:50:41,5.3505,48.5268,84.79,60,66,19.82
100,Thompson,CA,2021-08-01 09:50:41,55.7435,-97.8558,48.36,93,1,2.3
101,Quelimane,MZ,2021-08-01 09:50:42,-17.8786,36.8883,75.15,64,40,5.01
102,Saint-Philippe,RE,2021-08-01 09:50:42,-21.3585,55.7679,76.21,77,39,16.64
103,Fortuna,US,2021-08-01 09:50:42,40.5982,-124.1573,61.41,94,90,1.01
104,Juli,PE,2021-08-01 09:50:43,-16.2167,-69.45,35.26,82,63,5.46
105,Souillac,MU,2021-08-01 09:50:43,-20.5167,57.5167,75.58,60,75,16.11
106,Port Blair,IN,2021-08-01 09:50:43,11.6667,92.75,82.98,80,100,19.57
107,Manjacaze,MZ,2021-08-01 09:50:44,-24.7117,33.8828,77.13,39,0,4.7
108,Qaanaaq,GL,2021-08-01 09:50:44,77.484,-69.3632,40.12,92,90,4.05
109,Tecoanapa,MX,2021-08-01 09:50:44,16.5167,-98.75,78.3,89,84,5.28
110,Butaritari,KI,2021-08-01 09:50:45,3.0707,172.7902,83.5,70,29,8.08
111,Atuona,PF,2021-08-01 09:50:45,-9.8,-139.0333,77.23,64,85,13.82
112,Cagliari,IT,2021-08-01 09:47:04,39.245,9.0912,91.18,46,0,12.66
113,Pamanukan,ID,2021-08-01 09:50:45,-6.2842,107.8106,83.7,67,15,8.52
114,Vila Franca Do Campo,PT,2021-08-01 09:50:46,37.7167,-25.4333,75.61,79,62,7.2
115,Pierre,US,2021-08-01 09:50:46,44.3683,-100.351,63.99,80,1,7.0
116,Victoria,HK,2021-08-01 09:46:51,22.2855,114.1577,86.97,83,100,1.01
117,Panalingaan,PH,2021-08-01 09:50:47,8.7842,117.4231,83.5,77,72,9.22
118,Barrow,US,2021-08-01 09:50:47,71.2906,-156.7887,48.22,83,20,9.22
119,Isangel,VU,2021-08-01 09:50:47,-19.55,169.2667,69.57,60,0,16.02
120,Rio Grande,BR,2021-08-01 09:50:48,-32.035,-52.0986,44.94,93,32,3.2
121,Yako,BF,2021-08-01 09:50:48,12.9667,-2.2667,82.99,60,58,14.5
122,Tocopilla,CL,2021-08-01 09:50:48,-22.092,-70.1979,61.14,71,28,6.51
123,Ondangwa,NA,2021-08-01 09:50:48,-17.9167,15.95,69.8,30,0,11.5
124,Jieshi,CN,2021-08-01 09:50:49,22.8134,115.8257,86.95,83,100,15.68
125,Clyde,US,2021-08-01 09:50:49,41.3042,-82.9752,64.71,85,0,7.11
126,Bichena,ET,2021-08-01 09:50:49,10.45,38.2,61.9,75,100,3.13
127,Esperance,AU,2021-08-01 09:50:50,-33.8667,121.9,48.04,64,88,23.67
128,Pangnirtung,CA,2021-08-01 09:50:50,66.1451,-65.7125,49.55,71,39,3.29
129,Catuday,PH,2021-08-01 09:50:50,16.2923,119.8062,81.55,83,100,17.74
130,Neiafu,TO,2021-08-01 09:50:51,-18.65,-173.9833,76.75,76,83,25.1
131,Mapiripan,CO,2021-08-01 09:50:51,2.8892,-72.1256,70.45,91,100,3.44
132,Cayenne,GF,2021-08-01 09:50:51,4.9333,-52.3333,76.08,91,0,3.44
133,Te Anau,NZ,2021-08-01 09:50:52,-45.4167,167.7167,43.07,94,47,0.94
134,Christchurch,NZ,2021-08-01 09:48:36,-43.5333,172.6333,51.91,86,90,5.01
135,Belaya Gora,RU,2021-08-01 09:50:52,68.5333,146.4167,50.95,53,96,6.46
136,Los Llanos De Aridane,ES,2021-08-01 09:50:52,28.6585,-17.9182,71.13,84,40,20.71
137,Pevek,RU,2021-08-01 09:50:49,69.7008,170.3133,32.99,96,96,16.46
138,Constantine,DZ,2021-08-01 09:50:50,36.365,6.6147,89.01,27,75,2.3
139,Bathsheba,BB,2021-08-01 09:50:53,13.2167,-59.5167,81.21,78,0,13.8
140,Kashan,IR,2021-08-01 09:50:53,33.9831,51.4364,99.05,12,26,7.16
141,Mayo,US,2021-08-01 09:49:53,38.8876,-76.5119,72.9,93,90,1.99
142,Castro,BR,2021-08-01 09:50:54,-24.7911,-50.0119,44.51,90,100,5.32
143,Carnarvon,AU,2021-08-01 09:50:54,-24.8667,113.6333,68.07,63,15,17.27
144,Parangan,PH,2021-08-01 09:50:54,5.0839,119.9383,84.47,75,65,10.33
145,Tsaratanana,MG,2021-08-01 09:50:55,-16.7833,47.65,79.03,44,3,13.53
146,College,US,2021-08-01 09:50:55,64.8569,-147.8028,66.18,69,75,3.44
147,Half Moon Bay,US,2021-08-01 09:50:55,37.4636,-122.4286,63.75,89,90,0.0
148,Taltal,CL,2021-08-01 09:50:20,-25.4,-70.4833,58.6,71,9,3.0
149,Touba,CI,2021-08-01 09:50:56,8.2833,-7.6833,71.6,93,100,6.15
150,Vaini,TO,2021-08-01 09:50:56,-21.2,-175.2,71.76,83,40,26.46
151,Ribeira Grande,PT,2021-08-01 09:50:47,38.5167,-28.7,73.8,83,40,9.22
152,Camargo,MX,2021-08-01 09:50:56,27.6667,-105.1667,76.68,51,35,6.2
153,Boguchany,RU,2021-08-01 09:50:57,58.3814,97.4531,67.53,62,100,7.36
154,Moose Factory,CA,2021-08-01 09:50:57,51.2585,-80.6094,42.8,87,1,4.61
155,Atar,MR,2021-08-01 09:50:57,20.5169,-13.0499,91.45,33,55,6.91
156,Tuatapere,NZ,2021-08-01 09:50:58,-46.1333,167.6833,43.83,96,60,4.74
157,Saint Anthony,US,2021-08-01 09:50:58,45.0205,-93.218,65.82,72,1,4.0
158,Santa Cruz De La Palma,ES,2021-08-01 09:50:58,28.6835,-17.7642,75.15,68,40,20.71
159,Brora,GB,2021-08-01 09:50:59,58.0099,-3.8518,57.06,65,86,10.6
160,Ossora,RU,2021-08-01 09:50:59,59.2353,163.0719,53.58,65,96,5.86
161,Torbay,CA,2021-08-01 09:50:48,47.6666,-52.7314,62.58,87,75,13.8
162,Rio Gallegos,AR,2021-08-01 09:50:59,-51.6226,-69.2181,44.65,61,0,13.8
163,Arvi,IN,2021-08-01 09:51:00,20.9833,78.2333,81.95,68,100,15.08
164,Bonavista,CA,2021-08-01 09:51:00,48.6499,-53.1147,63.12,82,51,18.07
165,Rudnogorsk,RU,2021-08-01 09:51:00,57.2639,103.7519,74.7,46,100,8.7
166,Ambilobe,MG,2021-08-01 09:51:01,-13.2,49.05,91.67,26,0,6.29
167,Verkhnevilyuysk,RU,2021-08-01 09:51:22,63.4453,120.3167,80.42,45,38,2.8
168,Ponta Delgada,PT,2021-08-01 09:51:23,37.7333,-25.6667,75.92,73,75,9.22
169,Klyuchi,RU,2021-08-01 09:51:23,52.2667,79.1667,90.93,25,32,6.96
170,Kavieng,PG,2021-08-01 09:50:42,-2.5744,150.7967,82.49,73,4,5.84
171,Yarmouth,US,2021-08-01 09:51:23,41.7057,-70.2286,62.98,93,1,1.99
172,Cabo San Lucas,MX,2021-08-01 09:51:09,22.8909,-109.9124,82.51,79,93,0.92
173,Sosnovo-Ozerskoye,RU,2021-08-01 09:51:24,52.5249,111.5418,65.19,58,68,3.36
174,Aguadilla,PR,2021-08-01 09:51:24,18.4275,-67.1541,78.66,89,93,1.01
175,Padang,ID,2021-08-01 09:50:00,-0.9492,100.3543,84.25,86,89,6.62
176,Mecca,SA,2021-08-01 09:50:09,21.4267,39.8261,99.21,36,5,18.25
177,Kahului,US,2021-08-01 09:47:55,20.8947,-156.47,75.22,75,1,18.41
178,Wuning,CN,2021-08-01 09:51:25,29.2589,120.2311,80.51,91,100,2.57
179,San Buenaventura,MX,2021-08-01 09:51:25,27.0833,-101.5333,86.47,57,69,1.03
180,Marsh Harbour,BS,2021-08-01 09:51:26,26.5412,-77.0636,83.17,74,6,11.21
181,Russell,US,2021-08-01 09:51:26,32.3502,-85.1999,74.91,91,40,0.0
182,Khovu-Aksy,RU,2021-08-01 09:51:26,51.1333,93.6,61.86,56,100,8.1
183,Hambantota,LK,2021-08-01 09:51:27,6.1241,81.1185,95.34,49,20,17.27
184,Ahar,IR,2021-08-01 09:51:27,38.4774,47.0699,80.67,42,93,14.83
185,Bijie,CN,2021-08-01 09:51:27,27.3125,105.2942,78.84,63,0,4.43
186,Cabedelo,BR,2021-08-01 09:51:28,-6.9811,-34.8339,74.07,82,49,17.78
187,Bombay,IN,2021-08-01 09:46:59,19.0144,72.8479,84.18,84,90,13.8
188,Najran,SA,2021-08-01 09:51:28,17.4924,44.1277,97.45,16,30,9.98
189,Sao Filipe,CV,2021-08-01 09:51:00,14.8961,-24.4956,75.58,80,53,10.74
190,Guaranda,EC,2021-08-01 09:51:28,-1.6,-79.0,50.74,75,9,9.57
191,Lebu,CL,2021-08-01 09:51:16,-37.6167,-73.65,45.61,73,8,12.86
192,Vaitape,PF,2021-08-01 09:51:29,-16.5167,-151.75,77.31,65,90,14.43
193,Beringovskiy,RU,2021-08-01 09:51:29,63.05,179.3167,46.22,82,100,3.44
194,Hofn,IS,2021-08-01 09:51:30,64.2539,-15.2082,50.02,93,90,5.75
195,Rong Kwang,TH,2021-08-01 09:51:30,18.339,100.3174,89.08,77,99,7.47
196,Naze,JP,2021-08-01 09:51:30,28.3667,129.4833,81.52,87,91,13.47
197,Port Hedland,AU,2021-08-01 09:51:31,-20.3167,118.5667,73.45,43,4,13.8
198,Santiago,CL,2021-08-01 09:47:49,-33.4569,-70.6483,55.29,46,0,4.61
199,Clyde River,CA,2021-08-01 09:50:57,70.4692,-68.5914,37.63,100,90,5.75
200,Flin Flon,CA,2021-08-01 09:51:21,54.7682,-101.865,59.07,61,72,3.6
201,Arman,RU,2021-08-01 09:51:31,59.7,150.1667,57.15,86,44,9.64
202,East London,ZA,2021-08-01 09:50:52,-33.0153,27.9116,85.14,11,0,13.8
203,Zhigansk,RU,2021-08-01 09:51:19,66.7697,123.3711,79.39,42,37,12.35
204,Kushmurun,KZ,2021-08-01 09:51:32,52.4503,64.6311,92.55,29,19,17.94
205,Hasaki,JP,2021-08-01 09:51:32,35.7333,140.8333,86.29,86,6,8.46
206,Havre-Saint-Pierre,CA,2021-08-01 09:51:32,50.2334,-63.5986,50.36,100,40,4.61
207,Tomatlan,MX,2021-08-01 09:51:33,19.9333,-105.25,75.56,91,100,2.46
208,Nikita,UA,2021-08-01 09:51:33,44.5333,34.2333,75.72,61,3,4.14
